id,code,country,region,efw,cpi,gdp_pc,inc_group,scandinavia,reg,pol,prot,govexp,foraid,inf,pop,col,nat,oil,min,pres,legint,cci,agedem,col_uk,lgdp_pc,lpop,lfor,hinc,america
56,DEU,Germany,Europe & Central Asia,7.85,80,53768.12819,High income,0,8.126935565,10,46.4,44.458,,1.672580166,82905782,.,0.081859704,0.015803979,,0,7.808883333,1.946862,26,0,10.892436157778786,18.233215364356088,,0,0
57,GHA,Ghana,Sub-Saharan Africa,6.65,41,5194.439001,Lower middle income,0,7.12771652,8,25.8,21.451,1067250000,10.21020292,29767108,GBR,14.07912633,4.618709803,5.652941048,1,5.600446667,-0.1158941,19,1,8.555343909444236,17.20891458349648,20.788351083602347,0,0
58,GRC,Greece,Europe & Central Asia,6.71,45,29206.48592,High income,0,7.165132043,10,0.1,46.919,,0.549763493,10732882,TUR,0.155333552,0.028600333,0.078732417,0,7.03198,-0.0660192,42,0,10.282146084139201,16.188822671272973,,0,0
59,GTM,Guatemala,Latin America & Caribbean,7.7,27,8448.463809,Upper middle income,0,6.48156611,8,4.9,13.225,393630004.9,1.228596991,16346950,ESP,1.680286179,0.198443237,0.691151781,1,4.721456667,-0.8205505,30,0,9.041739906072525,16.60955189356347,19.790921952198246,1,1
60,GIN,Guinea,Sub-Saharan Africa,5.57,28,2495.971762,Low income,0,6.869075619,4,0.1,15.608,590599975.6,-1.369770654,12414318,FRA,14.49197714,,9.684532383,,3.556316667,-1.04368,0,0,7.82243341612404,16.334361041867375,20.196649485960176,0,0
61,GNB,Guinea-Bissau,Sub-Saharan Africa,5.46,16,1949.17757,Low income,0,5.698019905,6,0.6,20.111,152369995.1,-0.424897293,1874309,PRT,9.236051387,,,,4.668483333,-1.533915,0,0,7.575162803618102,14.443750616128217,18.841822299286974,0,0
62,GUY,Guyana,Latin America & Caribbean,6.68,37,12477.62476,Upper middle income,0,7.03557039,7,18,27.805,102440002.4,-2.887559443,779004,GBR,19.68675808,,15.12553588,,4.048453333,-0.2267126,24,1,9.431692300091612,13.565771459627893,18.444787842723947,1,1
63,HTI,Haiti,Latin America & Caribbean,6.58,20,2992.312294,Low income,0,7.061296112,0,12.8,18.987,992150024.4,10.10600708,11123176,.,0.681454416,,,,3.291843333,-1.280559,0,0,8.003801709984435,16.2245414175183,20.71538488808859,0,1
64,HND,Honduras,Latin America & Caribbean,7.28,29,5672.25331,Lower middle income,0,6.971406686,7,2.6,26.263,659929992.7,1.908079803,9587522,ESP,1.410532486,,0.503960731,1,4.38649,-0.6184291,6,0,8.643341726946764,16.075973019309515,20.30764431569208,0,1
65,HKG,"Hong Kong SAR, China",East Asia & Pacific,8.94,76,61063.54937,High income,0,9.469450974,,7.5,18.392,,3.658065176,7451000,GBR,6.29408e-4,,,,7.428983333,1.676682,,1,11.019670393816595,15.823858809535865,,0,0
66,HUN,Hungary,Europe & Central Asia,7.44,46,31484.50271,High income,0,7.422832595,10,21.6,46.67,,4.819179065,9775564,.,0.380441409,0.154225735,2.6e-5,0,6.428883333,0.0533697,26,0,10.357250726292788,16.095396360380946,,0,0
67,ISL,Iceland,Europe & Central Asia,7.71,76,56157.51387,High income,1,7.742692432,,96.6,42.265,,2.624447783,352721,DNK,2.30612e-4,,,0,8.610453333,1.843913,98,0,10.935915769023223,12.773432655137803,,0,0
68,IND,India,South Asia,6.56,41,6496.807506,Lower middle income,0,6.52777781,9,1.1,26.509,2453979980,4.555544363,1352617328,GBR,2.272636506,0.454268524,0.476280366,0,6.495866667,-0.1863026,66,1,8.779066182305547,21.0253073139058,21.620977025092643,0,0
69,IDN,Indonesia,East Asia & Pacific,7.39,38,11371.53194,Upper middle income,0,6.558205319,9,4.8,16.631,948520019.5,3.819740524,267663435,NLD,4.777067222,1.16861817,1.123104916,,5.53829,-0.251563,17,0,9.338868312936851,19.40524090969557,20.670413453600528,1,0
70,IRN,"Iran, Islamic Rep.",Middle East & North Africa,4.8,28,13471.84897,Upper middle income,0,5.4549432940000004,-7,0,18.064,165869995.1,32.89861807,81800269,.,,,,,5.77474,-0.9589301,0,0,9.508357525760124,18.219791090076125,18.926714877441018,1,0
71,IRQ,Iraq,Middle East & North Africa,5.61,18,10660.09256,Upper middle income,0,6.07114867,6,0,31.75,2299870117,15.36063802,38433600,TUR,45.69548017,45.39493122,,,3.81249,-1.399581,0,0,9.274262380608969,17.464442634968616,21.55611848741741,1,0
72,IRL,Ireland,Europe & Central Asia,8.13,73,83470.62371,High income,0,8.548219496,10,1.1,25.04,,0.818947501,4867316,GBR,0.133050648,,0.029551137,0,8.81732,1.5476,94,1,11.33225003708235,15.398053213767712,,0,0
73,ISR,Israel,Middle East & North Africa,7.62,61,39543.22026,High income,0,7.399452956,6,0.2,39.64,,1.151426026,8882800,GBR,0.183614282,0.002291651,0.030724908,0,7.708446667,0.786691,68,1,10.585149536503899,15.999627380582242,,0,0
74,ITA,Italy,Europe & Central Asia,7.51,52,42259.35234,High income,0,7.747056254,10,0.4,48.541,,1.031114442,60421760,.,0.102796819,0.069449813,,0,6.695876667,0.2356661,70,0,10.651580965449202,17.91685986292589,,0,0
75,JAM,Jamaica,Latin America & Caribbean,7.69,44,9737.981656,Upper middle income,0,8.148421808,9,55.5,29.451,98790000.92,4.846876221,2934855,GBR,1.323015408,,1.169367703,0,5.40257,-0.1815255,54,1,9.183789152986508,14.892168606276059,18.40850695233334,1,1
76,JPN,Japan,East Asia & Pacific,7.88,73,41074.10402,High income,0,8.402421725,10,0.9,37.526,,-0.097921833,126529100,.,0.030677136,0.002276748,0.003486902,0,7.92991,1.424979,64,0,10.623133129399145,18.655982879202504,,0,0
77,JOR,Jordan,Middle East & North Africa,7.62,49,10022.76232,Upper middle income,0,7.952327244,-3,0.3,30.379,2523949951,1.711128234,9956011,GBR,0.638378297,0.001134393,0.608366892,,6.125623333,0.1495778,0,1,9.212614017284654,16.113687047330398,21.649090952189475,1,0
78,KAZ,Kazakhstan,Europe & Central Asia,7.12,31,25544.27977,Upper middle income,0,7.95947317,-6,2,18.847,75629997.25,9.205605991,18276498.5,RUS,22.39879401,15.56288161,4.177978079,,5.386993333,-0.5017782,0,0,10.148168686808802,16.721126557502547,18.14136355147098,1,0
79,KEN,Kenya,Sub-Saharan Africa,6.84,27,4203.802282,Lower middle income,0,6.817084649,9,19.3,25.599,2488389893,2.422470697,51393010,GBR,1.309758659,0.005298541,0.005796724,,5.149683333,-0.8523029,14,1,8.343744699967923,17.755012728959713,21.634901708950853,0,0
80,KOR,"Korea, Rep.",East Asia & Pacific,7.69,57,41993.05088,High income,0,7.489211956,8,12.2,20.383,,0.482948983,51606633,JPN,0.018916369,0.002396662,0.00140716,,7.779013333,0.6042064,28,0,10.645259428338182,17.759160768702024,,0,0
81,KWT,Kuwait,Middle East & North Africa,6.6,41,50478.5941,High income,0,6.968289168,-7,0.1,49.38,,14.59024715,4137312,GBR,43.09483172,42.45690744,,,6.605783333,-0.2894517,0,1,10.829304646193345,15.23555685956865,,0,0
82,KGZ,Kyrgyz Republic,Europe & Central Asia,6.99,29,5133.151914,Lower middle income,0,7.0144942,7,0,33.06,413609985.4,3.447445134,6322800,RUS,11.54692062,0.135815962,11.183591849999999,,5.745386667,-0.9544102,0,0,8.543475157680517,15.659672705985377,19.840434023516966,0,0
83,LAO,Lao PDR,East Asia & Pacific,6.62,29,7592.819798,Lower middle income,0,6.433753321,-7,0.2,20.907,565159973.1,1.919889194,7061507,FRA,6.731680812,,5.25159562,,3.474106667,-0.9827906,0,0,8.934958316283119,15.770169042781566,20.15261938726474,0,0
84,LVA,Latvia,Europe & Central Asia,7.89,58,30050.47495,High income,0,8.193038282,8,14.1,38.195,,3.904932686,1927174,RUS,0.845168169,,,0,7.736383333,0.3286469,23,0,10.31063374516291,14.471565239116659,,0,0
85,LBN,Lebanon,Middle East & North Africa,6.88,28,15612.01218,Upper middle income,0,6.474103736,6,1,32.29,1419630005,5.457614289,6848925,FRA,8.16481e-4,,,,5.78141,-1.109051,0,0,9.655795908469303,15.739602263616362,21.073662114748807,1,0
86,LSO,Lesotho,Sub-Saharan Africa,6.65,41,2748.543746,Lower middle income,0,7.53906075,8,29.8,51.573,151839996.3,6.853930157,2108132,GBR,3.344852177,,,,5.643886667,-0.1029647,14,1,7.918826503492044,14.561312805278753,18.838337868458137,0,0
87,LBR,Liberia,Sub-Saharan Africa,6.28,32,1497.004477,Low income,0,6.206101274,6,18.6,31.913,570750000,-1.85292811,4818977,FRA,21.55805217,,8.290335719,,4.495916667,-0.8520926,10,0,7.311221375063119,15.388072222836646,20.162461843374178,0,0
88,LBY,Libya,Middle East & North Africa,4.72,17,15017.98908,Upper middle income,0,5.983016436,0,0.1,85.843,303309997.6,18.12364521,6678567,TUR,43.44257542,42.42871324,,,5.461926667,-1.552905,0,0,9.617004033532117,15.714414001541833,19.530265934858708,1,0
89,LTU,Lithuania,Europe & Central Asia,8.1,59,35495.53131,High income,0,8.222700449,10,0,33.335,,3.528439716,2801543,RUS,0.344371601,0.03355675,,,6.7735,0.4979783,24,0,10.477162088948583,14.845680894789904,,0,0
90,LUX,Luxembourg,Europe & Central Asia,7.75,81,114109.9725,High income,0,7.963887207,10,1.2,42.291,,2.511835998,607950,NLD,0.011717768,,,0,8.552163333,2.088052,126,0,11.644917933433165,13.317847920724564,,0,0
91,MDG,Madagascar,Sub-Saharan Africa,6.2,25,1613.104514,Low income,0,6.194486994,6,22,14.257,690570007.3,7.582543198,26262368,FRA,6.09048639,0.144544882,1.60247802,,4.57346,-1.000645,0,0,7.38591587081843,17.08364759794475,20.353027912061044,0,0
92,MWI,Malawi,Sub-Saharan Africa,5.79,32,1042.526368,Low income,0,6.238555786,6,31.5,29.118,1270969971,6.669240741,18143315,GBR,6.224147676,,0.009283847,1,6.431396667,-0.7446045,22,1,6.949402246398656,16.713812731269595,20.963046202596104,0,0
93,MYS,Malaysia,East Asia & Pacific,7.58,47,27557.65446,Upper middle income,0,8.541027359,5,1.4,22.723,,0.673482607,31528585,GBR,7.541505707,2.92934413,0.037235804,0,6.35039,0.3140343,0,1,10.224035614829473,17.26640515262013,,1,0
94,MLI,Mali,Sub-Saharan Africa,5.93,32,2283.710194,Low income,0,6.389596096,5,0.2,20.428,1492239990,1.457963911,19077690,FRA,10.21325791,,8.189968806,,5.096613333,-0.6976493,0,0,7.733556677436315,16.76403014747256,21.123544176999246,0,0
95,MLT,Malta,Middle East & North Africa,7.94,54,43528.41876,High income,0,8.466528007,,0.5,36.305,,2.047393932,484630,GBR,,,,0,6.95368,0.5799955,52,1,10.681169308593663,13.091140992175617,,0,0
96,MRT,Mauritania,Sub-Saharan Africa,6.22,27,5042.423182,Lower middle income,0,6.980793195,-2,0,20.133,447179992.7,1.808331878,4403319,FRA,16.17667205,,14.87903253,,4.68418,-0.807347,0,0,8.525642035602262,15.297869132715336,19.918471739761408,0,0
97,MUS,Mauritius,Sub-Saharan Africa,8.21,51,22208.13812,High income,0,8.364998535,10,0.9,24.763,66699996.95,1.44727208,1265303,GBR,0.002055829,,,0,6.767346667,0.2697556,48,1,10.008214082667594,14.050822177153758,18.015715465158713,0,0
98,MEX,Mexico,Latin America & Caribbean,7.21,28,20024.11949,Upper middle income,0,7.140231699,8,1.2,25.662,539799987.8,4.94131461,126190788,ESP,3.47499266,2.357417556,0.851952372,1,4.125206667,-0.8544276,16,0,9.904692800432999,18.653305510161463,20.106709235947214,1,1
99,MDA,Moldova,Europe & Central Asia,6.99,33,12373.03809,Lower middle income,0,7.458006624,9,0,31.37,230929992.7,3.180023196,2706049,RUS,0.270791421,0.013091061,,,6.452663333,-0.7268325,25,0,9.423275036686567,14.811000195457275,19.257625160648765,0,0
100,MNG,Mongolia,East Asia & Pacific,7.43,37,11915.5793,Lower middle income,0,7.710132796,10,0,28.456,331730011,8.411834917,3170208,CHN,40.06930317,2.430041407,28.8783133,,6.30747,-0.4278318,26,0,9.385602007738285,14.96930775884284,19.61983197615858,0,0
101,MNE,Montenegro,Europe & Central Asia,6.94,45,20628.56647,Upper middle income,0,7.138809485,9,,47.185,154839996.3,3.226084945,622227,,1.624795308,,1.072621376,,6.145586667,0.0228173,10,,9.934432116011559,13.341060256911106,18.857902859778086,1,0
102,MAR,Morocco,Middle East & North Africa,6.7,43,7437.637535,Lower middle income,0,7.432093158,-4,0,29.916,811650024.4,1.089633977,36029138,FRA,1.586964441,0.006610873,1.450623781,,6.217666667,-0.2173273,0,0,8.914308541783749,17.399838557930725,20.514579800783345,0,0
103,MOZ,Mozambique,Sub-Saharan Africa,5.94,23,1289.738003,Low income,0,6.233057044,5,6.8,32.606,1819790039,3.00116964,29495962,PRT,15.76340154,0.10064222,0.616282823,,5.492946667,-0.7809925,0,0,7.162194378278822,17.199763930585007,21.321986968193457,0,0
104,MMR,Myanmar,East Asia & Pacific,5.81,29,5029.180876,Lower middle income,0,6.215792896,,3.2,21.031,1687670044,6.265218659,53708395,GBR,6.587145201,0.165002881,1.264243123,,5.39048,-0.5883577,0,1,8.523012402118939,17.79907987873174,21.24661474244914,0,0
105,NAM,Namibia,Sub-Saharan Africa,6.52,53,9931.972912,Upper middle income,0,8.213288707,6,64.2,36.779,150029998.8,4.298921009,2448255,DEU,4.656231165,,4.188105468,1,7.624733333,0.3381373,0,0,9.203514419278385,14.71088608385605,18.826345824064795,1,0
106,NPL,Nepal,South Asia,6.48,31,3252.743328,Lower middle income,0,7.356335801,6,0,31.924,1450729980,6.700635455,28087871,.,0.456871306,,-1.87856e-4,0,6.167626667,-0.6737257,8,0,8.087254020194026,17.15084840411123,21.09533270118103,0,0
107,NLD,Netherlands,Europe & Central Asia,7.82,82,56324.76832,High income,0,7.989872997,10,42.4,41.29,,2.437090745,17231624,.,0.414187426,0.030050189,,0,8.63259,2.009312,119,0,10.938889652020793,16.66225685827024,,0,0
108,NZL,New Zealand,East Asia & Pacific,8.53,87,42369.77529,High income,0,9.136993077,10,37.9,36.396,,0.800306089,4841000,GBR,1.324697464,0.198910155,0.249351716,,8.032393333,2.175004,159,1,10.654190540089902,15.392631868921832,,0,0
109,NIC,Nicaragua,Latin America & Caribbean,7.05,25,5694.92448,Lower middle income,0,6.818048778,9,4.4,27.513,351950012.2,3.59183161,6465513,ESP,2.818328431,,1.562686418,1,4.258223333,-1.092894,32,0,8.64733061503831,15.681992917388051,19.67899971268243,0,1
110,NER,Niger,Sub-Saharan Africa,5.85,34,1200.966203,Low income,0,6.332025535,6,0,21.095,1196319946,2.432600019,22442948,FRA,6.057944553,1.381539606,0.228952925,,4.737196667,-0.5796463,7,0,7.090881680967956,16.926487002539172,20.902515970077452,0,0
111,NGA,Nigeria,Sub-Saharan Africa,6.93,27,5155.074546,Lower middle income,0,7.878746635,7,15.8,12.82,3301520020,10.22848509,195874740,GBR,11.48387008,9.025344222,0.017353835,,4.603216667,-1.046155,33,1,8.547736857258238,19.092985931262426,21.91764881149086,0,0
112,MKD,North Macedonia,Europe & Central Asia,7.15,37,15971.86851,Upper middle income,0,8.122226221,9,1,30.396,169919998.2,3.906589672,2082958,TUR,1.521359278,,1.371832571,,5.415366667,-0.3648497,25,0,9.678584235617294,14.549299556813713,18.950838285424627,1,0
113,NOR,Norway,Europe & Central Asia,7.6,84,63332.79989,High income,0,7.729442909,10,97.8,49.237,,5.781591997,5311916,.,7.979729663,5.240477667,0.006925392,0,8.79905,2.090204,116,0,11.056158639649569,15.485463156760364,,0,0
114,OMN,Oman,Middle East & North Africa,6.79,52,28593.07967,High income,0,6.809604888,-8,0.1,45.099,,11.05980576,4829483,.,29.20238625,26.85557848,0.01853785,,6.784023333,0.2461315,0,0,10.260919997948163,15.390249980562162,,0,0
115,PAK,Pakistan,South Asia,6.07,33,4739.768808,Lower middle income,0,6.512691772,7,0.8,21.632,1361979980,2.459286095,212215030,GBR,1.305541289,0.478416625,0.05060241,1,5.332383333,-0.7908247,8,1,8.463743638816053,19.173110611042095,21.0322053455936,0,0
116,PAN,Panama,Latin America & Caribbean,7.8,37,31049.17931,High income,0,7.02088967,9,5.2,22.899,38290000.92,0.948617363,4176873,ESP,0.126954315,,0.042224653,,5.450316667,-0.5544491,25,0,10.343327655772377,15.245073438420484,17.460699347480638,0,1
117,PNG,Papua New Guinea,East Asia & Pacific,6.39,28,4193.358779,Lower middle income,0,7.74578506,5,58.4,20.377,785539978,9.797605754,8606316,GBR,24.51946501,3.032256258,12.79391615,,5.131606667,-0.876112,41,1,8.341257309691917,15.968006910275012,20.481881909336202,0,0
118,PRY,Paraguay,Latin America & Caribbean,7.23,29,12850.46496,Upper middle income,0,6.567854924,9,1.9,20.515,161550003.1,2.182579794,6956071,ESP,1.208297245,,,1,4.33806,-0.8388299,13,0,9.46113527332634,15.755125361419745,18.900325269423888,1,1
