id,code,country,region,efw,cpi,gdp_pc,inc_group,scandinavia,reg,pol,prot,govexp,foraid,inf,pop,col,nat,oil,min,pres,legint,cci,agedem,col_uk,lgdp_pc,lpop,lfor,hinc,america
143,TWN,Taiwan,,7.94,63,,,,8.081538424,10,,17.396,,,,JPN,,,,0,7.68341,1.027812,20,0,,,,,0
144,TJK,Tajikistan,Europe & Central Asia,6.05,25,3234.721579,Low income,0,6.60772021,-3,0,31.869,397540008.5,4.841199749,9100837,RUS,6.766636084,0.121098437,4.916461256,,4.299253333,-1.415277,0,0,8.081698138007066,16.023876945279337,19.80080613730822,0,0
145,TZA,Tanzania,Sub-Saharan Africa,6.73,36,2589.975602,Lower middle income,0,6.995402343,3,11.2,16.606,2453260010,4.777467525,56318348,GBR,4.683778632,,2.158764986,,6.893836667,-0.4464366,0,1,7.859403734571994,17.846530936997496,21.620683593344193,0,0
146,THA,Thailand,East Asia & Pacific,6.75,36,18086.50771,Upper middle income,0,6.835944605,-3,0.2,21.361,,1.464479058,69428524,.,2.010224386,0.756520667,0.017075514,0,4.482786667,-0.3988422,0,0,9.802921508895798,18.055808349681648,,1,0
147,TLS,Timor-Leste,East Asia & Pacific,6.29,35,3051.675337,Lower middle income,0,7.108291103,8,,86.242,202580001.8,-1.427360983,1267972,,33.5451186,33.41307888,,,5.657613333,-0.4736333,14,,8.023446009616148,14.05292933171657,19.126645437108305,0,0
148,TGO,Togo,Sub-Saharan Africa,6.25,30,1552.858562,Low income,0,6.440864733,-2,6.1,24.668,296420013.4,1.459905643,7889094,FRA,11.16749076,,7.206396974,,4.321926667,-0.7301584,0,0,7.347852744950968,15.880991857331376,19.507287970699167,0,0
149,TTO,Trinidad and Tobago,Latin America & Caribbean,7.26,41,26272.9084,High income,0,6.828833561,10,13.2,30.715,,6.056619887,1389858,GBR,10.61302721,3.997840625,,,4.965523333,-0.3172942,54,1,10.176293588390081,14.144712141614981,,0,1
150,TUN,Tunisia,Middle East & North Africa,6.07,43,10763.78558,Lower middle income,0,6.636058541,7,0,30.787,805270019.5,6.477784336,11565204,FRA,3.286419711,2.563398527,0.243080239,,7.534736667,-0.0536738,60,0,9.283942591544339,16.263511492921417,20.50668820708977,0,0
151,TUR,Turkey,Europe & Central Asia,6.62,41,28545.24824,Upper middle income,0,5.970694151,3,0,34.615,1187280029,16.48528447,82319724,.,0.477268898,0.111939014,0.230223595,0,4.298443333,-0.3354134,33,0,10.259245764804756,18.22612129671477,20.894930837977416,1,0
152,UGA,Uganda,Sub-Saharan Africa,7.55,26,2122.260513,Low income,0,7.796247212,-1,1.9,15.955,1940800049,4.535752752,42723139,GBR,7.467531597,,0.144543831,1,5.73857,-1.038054,0,1,7.660237079310602,17.570251228381224,21.38636612140138,0,0
153,UKR,Ukraine,Europe & Central Asia,6.06,32,12338.0028,Lower middle income,0,6.607963915,4,0,41.719,1221099976,15.39799476,44622518,RUS,3.71306214,0.321585975,1.590015382,0,5.285203333,-0.8737929,25,0,9.420439436710716,17.61374917746966,20.92301790914884,0,0
154,ARE,United Arab Emirates,Middle East & North Africa,7.05,70,66968.26985,High income,0,7.485751782,-8,0.3,28.87,,8.206537288,9630959,GBR,17.37530502,16.58907748,,,6.106306667,1.151779,0,1,11.111974201868268,16.08049336344745,,0,0
155,GBR,United Kingdom,Europe & Central Asia,8.08,80,46244.75259,High income,0,8.466038621,10,16.1,38.783,,2.136840552,66460344,.,0.661998207,0.517195198,2.79e-5,,7.517916667,1.826838,131,0,10.741703278990267,18.012115996923068,,0,0
156,USA,United States,North America,8.22,71,61498.36983,High income,0,8.815631651,10,43.6,35.37,,2.436001896,326687501,GBR,0.711242137,0.376622096,0.071173889,,7.794093333,1.328681,216,1,11.026765946614029,19.604514617498445,,0,1
157,URY,Uruguay,Latin America & Caribbean,7.25,70,21590.83348,High income,0,7.058717471,10,1.9,33.224,,5.555042955,3449299,ESP,1.597521345,,0.041532827,1,5.673526667,1.259947,31,0,9.980024127673383,15.053681579956185,,0,1
158,VEN,"Venezuela, RB",Latin America & Caribbean,3.34,18,0,Upper middle income,0,2.517874163,4,1,48.421,147130004.9,0,28870195,ESP,,,,,2.489033333,-1.470778,0,0,,17.178320306032656,18.80682714097801,1,1
159,VNM,Vietnam,East Asia & Pacific,6.2,33,7586.384939,Lower middle income,0,6.919455324,-7,0.2,20.511,1633349976,3.398105023,95540395,FRA,4.320103336,1.614026669,0.277120319,,5.595616667,-0.4854065,0,0,8.934110464304444,18.375059700311514,21.213898942730726,0,0
160,YEM,"Yemen, Rep.",Middle East & North Africa,5.51,14,0,Low income,0,4.308373321,0,0.1,14.264,7985220215,14.85349253,28498687,GBR,2.688356266,2.645542281,,,3.5075,-1.638176,0,1,,17.165368574002176,22.800858196817952,0,0
161,ZMB,Zambia,Sub-Saharan Africa,7.19,35,3521.520144,Lower middle income,0,6.496614627,7,31.9,27.353,991869995.1,7.411883661,17351822,GBR,19.11167072,,14.61876249,1,6.031293333,-0.6562852,8,1,8.166648034458754,16.669208073252737,20.715102603334298,0,0
162,ZWE,Zimbabwe,Sub-Saharan Africa,5.12,22,3130.029501,Lower middle income,0,6.275334408,4,21.4,17.653,793609985.4,5.220226667,14439018,GBR,5.74518718,,3.735933548,1,4.944943333,-1.234743,0,1,8.048797708729397,16.485444683576308,20.492102696265054,0,0
